Date,Open,High,Low,Close,Volume
06/17/2022,"126.86","135.86","126.32","135.14","3,085,227"
06/16/2022,"124.94","129.29","120.58","125.73","2,498,764"
06/15/2022,"124.95","131.96","123.64","129.29","2,691,071"
06/14/2022,"117.57","128.00","116.10","126.17","3,184,785"
06/13/2022,"120.51","124.57","114.30","118.25","3,448,204"
06/10/2022,"126.00","131.93","123.14","129.09","2,957,549"
06/09/2022,"138.79","139.90","127.34","128.98","3,283,813"
06/08/2022,"141.39","153.00","135.83","138.73","6,118,380"
06/07/2022,"130.00","149.89","126.33","146.50","6,241,867"
06/06/2022,"135.30","136.11","127.05","128.10","2,383,230"
06/03/2022,"130.00","138.10","124.23","133.70","4,558,613"
06/02/2022,"119.00","136.50","115.56","134.00","6,979,691"
06/01/2022,"122.82","129.59","117.01","121.40","3,747,933"
05/31/2022,"137.21","139.93","120.52","124.74","4,771,082"
05/27/2022,"141.00","143.70","127.00","137.21","7,511,269"
05/26/2022,"116.00","148.46","114.70","128.46","14,473,080"
05/25/2022,"90.14","115.47","90.14","115.17","10,015,000"
05/24/2022,"94.05","94.20","86.70","89.15","2,219,870"
05/23/2022,"96.57","97.28","91.50","96.13","1,748,481"
05/20/2022,"99.81","102.41","89.75","95.66","2,493,024"
05/19/2022,"91.22","101.98","90.16","99.19","3,180,135"
05/18/2022,"96.38","99.84","90.17","91.48","2,890,032"
05/17/2022,"93.90","100.38","91.20","100.38","2,611,237"
05/16/2022,"98.80","99.18","90.78","91.80","2,895,531"
05/13/2022,"99.00","106.78","95.04","98.39","5,982,716"
05/12/2022,"83.04","108.06","77.77","89.57","10,034,940"
05/11/2022,"93.47","95.27","80.00","81.33","4,170,343"
05/10/2022,"102.98","106.06","88.00","93.50","4,150,803"
05/09/2022,"110.78","110.78","98.08","98.79","3,316,234"
05/06/2022,"117.28","120.56","110.23","114.70","1,790,408"
05/05/2022,"123.94","124.68","115.12","119.13","1,753,862"
05/04/2022,"119.21","127.75","115.72","127.08","1,662,823"
05/03/2022,"118.48","124.43","114.42","120.43","1,828,171"
05/02/2022,"123.65","125.39","112.70","119.57","2,542,986"
04/29/2022,"127.30","130.89","123.01","125.07","1,285,855"
04/28/2022,"130.28","132.60","120.50","129.31","1,771,223"
04/27/2022,"127.27","132.68","124.58","129.84","1,305,874"
04/26/2022,"135.64","136.80","126.16","127.60","1,545,724"
04/25/2022,"135.41","139.71","133.28","135.95","1,534,779"
04/22/2022,"142.55","146.30","135.55","138.22","1,569,608"
04/21/2022,"150.00","153.12","139.91","141.56","1,684,367"
04/20/2022,"152.00","152.33","146.65","148.85","1,162,003"
04/19/2022,"142.85","152.98","139.86","152.47","2,354,169"
04/18/2022,"150.00","151.24","137.24","141.46","2,467,781"
04/14/2022,"149.27","156.50","147.22","150.77","2,500,583"
04/13/2022,"144.10","152.13","142.02","150.70","2,008,225"
04/12/2022,"146.50","152.25","141.67","144.87","1,999,136"
04/11/2022,"143.04","148.22","140.61","146.93","2,452,979"
04/08/2022,"149.09","150.71","142.03","146.19","2,592,879"
04/07/2022,"154.11","156.70","141.57","150.00","3,827,847"
04/06/2022,"151.01","159.29","149.70","156.64","4,066,958"
04/05/2022,"168.00","168.43","152.00","153.59","3,956,316"
04/04/2022,"166.98","173.24","156.51","170.73","4,640,077"
04/01/2022,"188.90","189.77","155.26","165.00","13,189,560"
03/31/2022,"163.10","175.75","158.51","166.58","11,242,230"
03/30/2022,"175.00","183.34","165.00","166.85","9,169,186"
03/29/2022,"188.24","199.41","163.00","179.90","18,011,490"
03/28/2022,"151.98","190.84","151.55","189.59","16,316,520"
03/25/2022,"140.04","158.16","138.20","151.95","13,383,870"
03/24/2022,"134.02","143.48","126.76","142.39","9,100,150"
03/23/2022,"130.00","150.93","126.55","141.00","24,599,840"
03/22/2022,"95.40","125.79","94.45","123.14","15,017,230"
03/21/2022,"90.00","99.40","89.76","94.20","3,953,112"
